Rank,Parent Dish Class,Frequency (Votes),Consensus (Popularity %)
765,Aloo Chicken,1,0.88%
766,Chicken Tikka Piece,1,0.88%
767,Sada Paratha,1,0.88%
768,Dal Mash Fry,1,0.88%
769,Pakistani Omelet,1,0.88%
770,Aloo Arbi,1,0.88%
771,Mutton Paya,1,0.88%
772,Beak Karahi,1,0.88%
773,Aloo Begin,1,0.88%
774,Mutton White,1,0.88%
775,Vegetable Mix,1,0.88%
776,Dal Channa Fry,1,0.88%
777,Chicken Jelfrezi,1,0.88%
778,Aloo Anda,1,0.88%
779,Shahi Daal,1,0.88%
780,Mix Platter B.B.Q-1,1,0.88%
781,Mix Veg Pulao,1,0.88%
782,Garlic Naan,1,0.88%
783,Mutton Dum Pukh,1,0.88%
784,Chicken 65,1,0.88%
785,Tandoori Champ Masala Gravy,1,0.88%
786,Kabab Masala,1,0.88%
787,Masala Kaleji,1,0.88%
788,Hyderabadi Khatti Daal With Gosht,1,0.88%
789,Rezala Chicken,1,0.88%
790,Afghani Keema,1,0.88%
791,Kalmi Tikka,1,0.88%
792,Kali Mirch Mutton Karahi,1,0.88%
793,Karelay Gosht,1,0.88%
794,Hunzai Handi,1,0.88%
795,Smoky Tandoori Chicken Biryani,1,0.88%
796,Mutton Do Pyaza,1,0.88%
797,Shaljam Gosht,1,0.88%
798,Daal Chana Pulao,1,0.88%
799,Kadhi Phulki,1,0.88%
800,Masala Bhindi Fry,1,0.88%
801,Panjeeri,1,0.88%
802,Saag Paneer,1,0.88%
803,Ishto,1,0.88%
804,Goat and Bell Pepper Curry,1,0.88%
805,Honey Ginger Chicken,1,0.88%
806,Goat Karahi,1,0.88%
807,Chicken Saag,1,0.88%
808,Yakhni Chicken Pulao,1,0.88%
809,Dahi Bara,1,0.88%
810,Matar Paneer,1,0.88%
811,Panjiri,1,0.88%
812,Chicken Mayo Sandwich,1,0.88%
813,Beef Curry,1,0.88%
814,Chicken Manchurian,1,0.88%
815,Beef Kofta Curry,1,0.88%
816,Rajma Masala,1,0.88%
817,Goat Korma,1,0.88%
818,Torai Ki Sabzi,1,0.88%
819,Istu,1,0.88%
820,Maash Ki Dal,1,0.88%
821,Goat Pulao,1,0.88%
822,Toriyan,1,0.88%
823,Bhindi Fry,1,0.88%
824,Vegetable Raita,1,0.88%
825,Fried Rice,1,0.88%
826,Keema Samosa,1,0.88%
827,Chilli Chicken,1,0.88%
828,Chana Dal,1,0.88%
829,Lamb Korma,1,0.88%
830,Chicken Shashlik,1,0.88%
831,Keema Curry,1,0.88%
832,Moong Dal,1,0.88%
833,Shinwari Lamb Karahi,1,0.88%
834,Rice Haleem,1,0.88%
835,Shinwari Mutton Karahi,1,0.88%
836,Peshawari Chapli Kebabs,1,0.88%
837,Shinwari Chicken Karahi,1,0.88%
838,Lamb Handi,1,0.88%
839,Curries,1,0.88%
840,Buttering Doudo,1,0.88%
841,Molida,1,0.88%
842,Buroshapik/Ghilmindi,1,0.88%
843,Gyalng/Gral,1,0.88%
844,Tumoro Tea,1,0.88%
845,Hoilo Garma,1,0.88%
846,Naran Style Fried Trout,1,0.88%
847,Boneless Chicken Karahi,1,0.88%
848,Anarkali Ka Falooda,1,0.88%
849,Channae,1,0.88%
850,Hunzai Cuisine,1,0.88%
851,Hui Garma,1,0.88%
852,Kpk Cuisine,1,0.88%
853,Pathorae,1,0.88%
854,Dumplings,1,0.88%
855,Lentils,1,0.88%
856,Hunzai Street Food,1,0.88%
857,Halwas,1,0.88%
858,Hunzai Breakfast,1,0.88%
859,Hunzai Pancakes,1,0.88%
860,Makki Ki Roti Tart,1,0.88%
861,Keema Paratha,1,0.88%
862,Missi Roti,1,0.88%
863,Palak Pakora,1,0.88%
864,Beef Boti Kebab,1,0.88%
865,Charsi Karahi,1,0.88%
866,Peach Chutney,1,0.88%
867,Lahori Fish,1,0.88%
868,Spinach Pakora,1,0.88%
869,Chapati,1,0.88%
870,Dal Makhani,1,0.88%
871,Paya Soup,1,0.88%
872,Kaak,1,0.88%
873,Dumpukht,1,0.88%
874,Landi,1,0.88%
875,Khadi Kabab,1,0.88%
876,Kunda Gosht,1,0.88%
877,Special Qorma,1,0.88%
878,Samosa Shots,1,0.88%
879,Tandoori BBQ Platters,1,0.88%
880,Indian Chinese Chicken Fried Rice,1,0.88%
881,Milk Barfi,1,0.88%
882,Almond Cake,1,0.88%
883,Chicken Methi Qeema,1,0.88%
884,White Chicken Curry,1,0.88%
885,Chicken Karahi Qeema,1,0.88%
886,Chicken Qeema,1,0.88%
887,Karahi Chicken,1,0.88%
888,Aloo Qeema,1,0.88%
889,Gajrella,1,0.88%
890,Biryanis,1,0.88%
891,Dal Gosht,1,0.88%
892,Baingan Gosht,1,0.88%
893,Bhuna Gosht Masala,1,0.88%
894,Bhuna Chana Masala,1,0.88%
895,Malai Boneless Chicken Karahi,1,0.88%
896,Punjabi Prawn Masala Curry,1,0.88%
897,Egg Halwa,1,0.88%
898,Chicken Dopiaza,1,0.88%
899,Pabda Fish Bhuna Curry,1,0.88%
900,Chicken Karahi Keema,1,0.88%
901,Achari Aloo Ki Bhujia,1,0.88%
902,Pakistani Chicken Pilau,1,0.88%
903,Phali Gosht,1,0.88%
904,Hariyali Chicken,1,0.88%
905,Aloo Ki Tikki,1,0.88%
906,Tadka Dal,1,0.88%
907,Leftover Rice Kheer,1,0.88%
908,Tadka Daal,1,0.88%
909,Cholay,1,0.88%
910,Chicken Bhuna Masala,1,0.88%
911,Maash Ki Daal,1,0.88%
912,Pakistani Karahi Keema,1,0.88%
913,Pakistani Kofta Curry,1,0.88%
914,Aloo Chana Curry,1,0.88%
915,Vegetable Fried Rice,1,0.88%
916,Coconut Rice Pilaf,1,0.88%
917,Beef Rice Bowl,1,0.88%
918,Saffron Infused Pulao,1,0.88%
919,Lentil Biryani,1,0.88%
920,Mushroom Rice Casserole,1,0.88%
921,Sagudana Kheer,1,0.88%
922,Sewaiyan,1,0.88%
923,Sheer Khorma,1,0.88%
924,Pilaf,1,0.88%
925,Panipuri,1,0.88%
926,Spiced Malaysian Rice Bowl,1,0.88%
927,Live Kunafa,1,0.88%
928,Layered Singaporean Fusion Rice,1,0.88%
929,Assorted Swiss Rolls,1,0.88%
930,Fudge Brownie,1,0.88%
931,Velvety Cream Caramel,1,0.88%
932,Live Jalebi,1,0.88%
933,Gourmet Cake Medley,1,0.88%
934,Indo-Chinese Chicken Fried Rice,1,0.88%
935,Chana Daal,1,0.88%
936,Dal Palak,1,0.88%
937,Prawn Karhai,1,0.88%
938,Kheema,1,0.88%
939,Shaami Kebab,1,0.88%
940,Kaari Chawal,1,0.88%
941,Channa,1,0.88%
942,Kashmiri Tea,1,0.88%
943,Gulabi Chai,1,0.88%
944,Mooli Paratha,1,0.88%
945,Fish Pakoras,1,0.88%
946,Lobia Daal,1,0.88%
947,Peas Pulao,1,0.88%
948,Chicken Tikka Biryani,1,0.88%
949,Fish Tahiri,1,0.88%
950,Chicken Malai Boti Pulao,1,0.88%
951,Karhayi Biryani,1,0.88%
952,Dates Lassi,1,0.88%
953,Peach Lassi,1,0.88%
954,Namkeen Lassi,1,0.88%
955,Strawberry Lassi,1,0.88%
956,Harisa,1,0.88%
957,Naan Kabab,1,0.88%
958,Lahori Harisa,1,0.88%
959,Lahori Butt Mutton Karahi,1,0.88%
960,Lahori Butt Karahi,1,0.88%
961,Chicken Sejji,1,0.88%
962,Kadoo,1,0.88%
963,Gajar Aaloo Matar Sabzi,1,0.88%
964,Kachnaar,1,0.88%
965,Aloo Vala Naan,1,0.88%
966,Daal Makhni,1,0.88%
967,Shakar Vala Parontha,1,0.88%
968,Vaysan Vala Naan,1,0.88%
969,Curry Pakora,1,0.88%
970,Bhoora,1,0.88%
971,Masala Stuffed Karaylay,1,0.88%
972,Masla Stuffed Tinday,1,0.88%
973,Bihari Kebab,1,0.88%
974,Chargah,1,0.88%
975,Achar Gosht,1,0.88%
976,Chatpati Vegetables,1,0.88%
977,Masoor Daal Pulao,1,0.88%
978,Loki Gosht,1,0.88%
979,Lentils and Rice,1,0.88%
980,Mutton Curry,1,0.88%
981,Mix Vegetable Pulao,1,0.88%
982,Tawa Qeema,1,0.88%
983,Karhai Gosht,1,0.88%
984,Shab Degh,1,0.88%
985,Aloo Ki Sabzi,1,0.88%
986,Tori Sabzi,1,0.88%
987,Meat Stew,1,0.88%
988,Vegetable Pakora Curry,1,0.88%
989,Daal Tadka,1,0.88%
990,Trout Fish,1,0.88%
991,Kachi Lassi,1,0.88%
992,Basen Ki Roti,1,0.88%
993,Kabuli Palao,1,0.88%
994,Prawns Masala,1,0.88%
995,Khichidi,1,0.88%
996,Chiray,1,0.88%
997,Sarsun Ka Saag & Makki Ki Roti,1,0.88%
998,Kata Kat,1,0.88%
999,Romali Roti,1,0.88%
1000,Anday Wala Burger,1,0.88%
1001,Lukum Dany,1,0.88%
1002,Warqi,1,0.88%
1003,Andrasa,1,0.88%
1004,Gil-e-Firdaus,1,0.88%
1005,Pan Pera,1,0.88%
1006,Paplet Fish Fry,1,0.88%
1007,Berckuzh / Chapshoro,1,0.88%
1008,Masalay Bhare Tinday,1,0.88%
1009,Tandori Roti,1,0.88%
1010,Pheniyan,1,0.88%
1011,Aush,1,0.88%
1012,Shurukut Ulak,1,0.88%
1013,Badam Ka Sharbat,1,0.88%
1014,Thandai / Sardai,1,0.88%
1015,Chikar Cholay,1,0.88%
1016,Rizala,1,0.88%
1017,Aushak,1,0.88%
1018,Phitti,1,0.88%
1019,Metha Paan,1,0.88%
1020,Khaddi Kabab,1,0.88%
1021,Gurdh Waly Chawal,1,0.88%
1022,Lemon Soda,1,0.88%
1023,Khalis Dahi,1,0.88%
1024,Naan Khatai,1,0.88%
1025,Gol Gappay or Pani Puri,1,0.88%
1026,Satu,1,0.88%
1027,Rabri Doodh,1,0.88%
1028,Pan Ice Cream,1,0.88%
1029,Nimco,1,0.88%
1030,Meethi Seviyan,1,0.88%
1031,Pathore,1,0.88%
1032,Alo Bukhary Ki Chutney,1,0.88%
1033,Soup,1,0.88%
1034,Basen Wala Naan,1,0.88%
1035,Falsa Juice,1,0.88%
1036,Luki Ka Halwa,1,0.88%
1037,Namak Para,1,0.88%
1038,Pasanday,1,0.88%
1039,Imartis,1,0.88%
1040,Pamir Cuisine,1,0.88%
1041,Neembu Pani / Squenjbeen,1,0.88%
1042,Achaar,1,0.88%
1043,Khopra Pak,1,0.88%
1044,Imli Alo Bukhara Sharbat,1,0.88%
1045,Shakarkandi,1,0.88%
1046,Sultani Daal,1,0.88%
1047,Arvi Gosht,1,0.88%
1048,Raan Roast,1,0.88%
1049,Macchli,1,0.88%
1050,Ravri,1,0.88%
1051,Gyalng or Go-lee,1,0.88%
1052,Anda Ghotala,1,0.88%
1053,Phirni,1,0.88%
1054,Kaleji Kabab,1,0.88%
1055,Modur Palao,1,0.88%
1056,Khoya Khajoor,1,0.88%
1057,Tarbooz E Afza,1,0.88%
1058,Tud Tud Bhata,1,0.88%
1059,Dahi Phulki,1,0.88%
1060,Gachak,1,0.88%
1061,Bhutta,1,0.88%
1062,Rus Malai,1,0.88%
1063,Ladu Peethi,1,0.88%
1064,Roth,1,0.88%
1065,Zeera Sharbat,1,0.88%
1066,Mantu,1,0.88%
1067,Gulabi Chai / Kashmiri Chai,1,0.88%
1068,Palao,1,0.88%
1069,Mircho Ka Salan,1,0.88%
1070,Crab Claw,1,0.88%
1071,Sabaz Chai,1,0.88%
1072,Batair,1,0.88%
1073,Ghular Jamun,1,0.88%
1074,Bihari Kabab,1,0.88%
1075,Ganay Ki Roh,1,0.88%
1076,Qeema Bhare Karelay,1,0.88%
1077,Khubani Ki Chutney,1,0.88%
1078,Balu Shahi,1,0.88%
1079,Pakora Kadhi,1,0.88%
1080,Meethi Tikkiyan,1,0.88%
1081,Twist Puff Pastry,1,0.88%
1082,Shopan / Joqes,1,0.88%
1083,Pathay Ka Halwa,1,0.88%
1084,Chaanp,1,0.88%
1085,Saji,1,0.88%
1086,Cream Fruit Chaat,1,0.88%
1087,Murabba,1,0.88%
1088,Qehwa,1,0.88%
1089,Shakes,1,0.88%
1090,Dalcha,1,0.88%
1091,Kachnar Gosht,1,0.88%
1092,Jaleebi,1,0.88%
1093,Zamin Doz Machhli,1,0.88%
1094,Cham Cham,1,0.88%
1095,Shab-Daig,1,0.88%
1096,Gurday Kapooray,1,0.88%
1097,Lukhmi,1,0.88%
1098,Ghiya Kadu,1,0.88%
1099,Raho Machli,1,0.88%
1100,Teetar,1,0.88%
1101,Tamatar Ki Chutney,1,0.88%
1102,Daal Ka Halwa,1,0.88%
1103,Ladu,1,0.88%
1104,Khoya Kulfi,1,0.88%
1105,Bun Sheermaal,1,0.88%
1106,Tawa Piece,1,0.88%
1107,Kulfa Falooda,1,0.88%
1108,Kachori With Aloo Ki Bhujiya,1,0.88%
1109,Loki Ka Raita,1,0.88%
1110,Chicken Makhni,1,0.88%
1111,Tandoori Chargha,1,0.88%
1112,Methi Lassi,1,0.88%
1113,Aloo Ki Tarkari,1,0.88%
1114,Bong Paye,1,0.88%
1115,Bolani,1,0.88%
1116,Shakar Pary,1,0.88%
1117,Hari Chutney,1,0.88%
1118,Gatta Candy,1,0.88%
1119,Kadak Chai,1,0.88%
1120,Murgh-e-Musalam,1,0.88%
1121,Dhaagywale Kabab,1,0.88%
1122,Ojri Curry,1,0.88%
1123,Pratha Rolls,1,0.88%
1124,Imli Ki Chutney,1,0.88%
1125,Dowdo Soup,1,0.88%
1126,Habshi Halwa,1,0.88%
1127,Sujhi Ka Halwa,1,0.88%
1128,Samosa Aloo,1,0.88%
1129,Doodh Soda,1,0.88%
1130,Anda Pratha,1,0.88%
1131,Rasgulla,1,0.88%
1132,Chikki Mraunda,1,0.88%
1133,Maal Pura,1,0.88%
1134,Braised Beef,1,0.88%
1135,Mutton Masala Sajji,1,0.88%
1136,Mutton,1,0.88%
1137,Chicken Namkeen Karahi,1,0.88%
1138,Lamb Handi Boneless,1,0.88%
1139,Chicken,1,0.88%
1140,Curry,1,0.88%
1141,Mutton Cuts,1,0.88%
1142,Chicken Makhani Sajji,1,0.88%
1143,Pakistani Beef Nihari,1,0.88%
1144,Strawberry Cake,1,0.88%
1145,Date Pudding,1,0.88%
1146,Kofty Anday,1,0.88%
1147,Gobi Ghost,1,0.88%
1148,Muttor Qeema,1,0.88%
1149,Chicken Bbq Pieces,1,0.88%
1150,Chicken Malai Handi,1,0.88%
1151,Potato Salad,1,0.88%
1152,Mutton Nihari,1,0.88%
1153,Bread Pudding,1,0.88%
1154,Chargha Biryani,1,0.88%
1155,Saeson Ka Saag,1,0.88%
1156,Achaar Gosht,1,0.88%
1157,Vegetarian Patties,1,0.88%
1158,Chana Bhaji,1,0.88%
1159,Alo Bukhara Chatni,1,0.88%
1160,Mutton Qorma,1,0.88%
1161,Oreo Delight,1,0.88%
1162,Beef Chappal Kabab,1,0.88%
1163,Afghani Pulao,1,0.88%
1164,Chicken Qorma,1,0.88%
1165,Macaroni Salad,1,0.88%
1166,Samosy,1,0.88%
1167,Mutton Chanp Masala,1,0.88%
1168,Banana Bread,1,0.88%
1169,Chappal Kabab,1,0.88%
1170,Ice Cream,1,0.88%
1171,Andaa Shami Burgers,1,0.88%
1172,Tuscon Chicken Pasta,1,0.88%
1173,White Chicken Karahi,1,0.88%
1174,Palak Ghost,1,0.88%
1175,Chicken Pakory,1,0.88%
1176,Chanp Masala,1,0.88%
1177,Chicken Murgh Musalam,1,0.88%
1178,Chicken Steam Roast,1,0.88%
1179,Chocolate Fudge Cake With Ice Cream,1,0.88%
1180,Fruit Salad,1,0.88%
1181,Mint Chutni,1,0.88%
1182,Chicken Steaks in White Sauce,1,0.88%
1183,Kabli Pulao,1,0.88%
1184,Chicken and Vegetable Noodles,1,0.88%
1185,Vegetable Cutluts,1,0.88%
1186,Baked Pasta,1,0.88%
1187,Chicken Kofty Anday,1,0.88%
1188,Boondi Raita,1,0.88%
1189,Kari Pakora,1,0.88%
1190,Fries,1,0.88%
1191,Beef Boti,1,0.88%
1192,Desi Chicken Roast,1,0.88%
1193,Handi Sekh Kabab,1,0.88%
1194,Chicken Sandwiches,1,0.88%
1195,Champ Masala,1,0.88%
1196,Chicken Broast With Fries,1,0.88%
1197,Achari Handi,1,0.88%
1198,Cream Salad,1,0.88%
1199,Boneless Handi,1,0.88%
1200,Cheese Cake,1,0.88%
1201,Gola Kebab,1,0.88%
1202,Dahi Phukliyaan,1,0.88%
1203,Parathay,1,0.88%
1204,Kari Pakoray,1,0.88%
1205,Fruit Trifle,1,0.88%
1206,Warm Bread Pudding,1,0.88%
1207,Chicken Roast with Steamed Vegetables,1,0.88%
1208,Aloo Bhaji,1,0.88%
1209,Dahi Bhaly,1,0.88%
1210,Chicken Shwarma,1,0.88%
1211,Rabri Kheer,1,0.88%
1212,Mattar Pulao,1,0.88%
1213,Kari Gravy,1,0.88%
1214,Kari Chawal,1,0.88%
1215,Thadal,1,0.88%
1216,Camel Pulao,1,0.88%
1217,Pallo Machi,1,0.88%
1218,Noon Chai,1,0.88%
1219,Apricot Stew,1,0.88%
1220,Bannu Beef Pulao,1,0.88%
1221,Lahore Biryani,1,0.88%
1222,Gol Gappas,1,0.88%
1223,Walnut Cake,1,0.88%
1224,Dahi Bhallas,1,0.88%
1225,Bun Kebabs,1,0.88%
1226,Arabian Paratha,1,0.88%
1227,Bone Marrow Biryani,1,0.88%
1228,Fish Kata-Kat,1,0.88%
1229,Mixed Grill,1,0.88%
1230,Prawns Karahi,1,0.88%
1231,Nalli Nihari,1,0.88%
1232,Chapatti,1,0.88%
1233,Green Chutney,1,0.88%
1234,Salin,1,0.88%
1235,Qeema Gobhi,1,0.88%
1236,Desi Chicken Yakhni,1,0.88%
1237,Aloo Bukhara Chatni,1,0.88%
1238,Sheermall,1,0.88%
1239,Mutton Neck Yakhni,1,0.88%
1240,Gol Gapay,1,0.88%
1241,Pakistani Sweets,1,0.88%
1242,Seekh Kababs,1,0.88%
1243,Handi-Style Karahi,1,0.88%
1244,Kababs,1,0.88%
1245,Chicken Roll,1,0.88%
1246,Peshawari Chapli Kebab,1,0.88%
1247,Bihari Boti,1,0.88%
1248,Reshmi Kebab,1,0.88%
1249,Special Zarda,1,0.88%
1250,Beef Kebab,1,0.88%
1251,Aloo Biryani,1,0.88%
1252,Tikka Biryani,1,0.88%
1253,Desi Murgh Yakhni,1,0.88%
1254,Raan Tandoori,1,0.88%
1255,Mutton Kunna,1,0.88%
1256,Murgh Kashmiri,1,0.88%
1257,Mutton Nalli,1,0.88%
1258,Qeema Naan,1,0.88%
1259,Family Platter,1,0.88%
1260,Mutton Joint Roast,1,0.88%
1261,Murgh Makhni,1,0.88%
1262,Mutton Ribs,1,0.88%
1263,Mutton Gola Kabab,1,0.88%
1264,Tawa Chicken Qeema,1,0.88%
1265,Balochi Namkeen Gosht,1,0.88%
1266,Karak Chai,1,0.88%
1267,Mutton Shank Rogan-e-Josh,1,0.88%
1268,Beef Khoya Kabab,1,0.88%
1269,Adraki Chai,1,0.88%
1270,Landi Kotal Karahi,1,0.88%
1271,Peshawari Qehwa,1,0.88%
1272,Masala Chai,1,0.88%
1273,Murgh Handi,1,0.88%
1274,Tawa Mutton Qeema,1,0.88%
1275,Behari Kabab,1,0.88%
1276,Maghaz Masala,1,0.88%
1277,Desi Murgh Karahi,1,0.88%
1278,Kulfi & Faluda,1,0.88%
1279,Qandhari Roti,1,0.88%
1280,Spice Bazaar Mix Grill -2,1,0.88%
1281,Butter Rice,1,0.88%
1282,Chicken Cheese Kabab,1,0.88%
1283,Shahi Kheer,1,0.88%
1284,Mutton Chilman Biryani,1,0.88%
1285,Tawa Champ,1,0.88%
1286,Haryali Boti,1,0.88%
1287,Sindhi Matka Biryani,1,0.88%
1288,Mutton Khoya Kabab,1,0.88%
1289,Murgh Multani White Karahi,1,0.88%
1290,Shahi Raan,1,0.88%
1291,Multani Mutton White Karahi,1,0.88%
1292,Chicken Tangdri Kabab,1,0.88%
1293,Spice Bazaar Mix Grill -1,1,0.88%
1294,Cholistani Pulao,1,0.88%
1295,Chana Masala,1,0.88%
1296,Rusks,1,0.88%
1297,Daal Seu,1,0.88%
1298,Dahi Bhala,1,0.88%
1299,Sheermal,1,0.88%
1300,Golgappe,1,0.88%
1301,Moringa Flowerbud Curry,1,0.88%
1302,Kelawo,1,0.88%
1303,Samosa Chaat,1,0.88%
1304,Ghilmindi,1,0.88%
1305,Rosehip Oil Bread,1,0.88%
1306,Bakerkhani,1,0.88%
1307,Tandoori Rotis,1,0.88%
1308,Chapshoro,1,0.88%
1309,Beef Pulao,1,0.88%
1310,Kalli,1,0.88%
1311,Qulfi,1,0.88%
1312,Phikka Khoya,1,0.88%
1313,Kofte,1,0.88%
1314,Makai Da Sitta,1,0.88%
1315,Nāshtā,1,0.88%
1316,Katchauri,1,0.88%
1317,Palo Fish,1,0.88%
1318,Bhail Puri,1,0.88%
1319,Masala Stews,1,0.88%
1320,Kharoray,1,0.88%
1321,Malai Tikka Kebab,1,0.88%
1322,Makai Roti,1,0.88%
1323,Reshami Kebab,1,0.88%
1324,Karhi,1,0.88%
1325,Bhugal Gosht,1,0.88%
1326,Buckwheat Bread,1,0.88%
1327,Cutlass,1,0.88%
1328,Multani Halwa,1,0.88%
1329,Gajraila,1,0.88%
1330,Almond Bread,1,0.88%
1331,Shorba,1,0.88%
1332,Egg Rolls,1,0.88%
1333,Lab E Shireen,1,0.88%
1334,Zarda Rice,1,0.88%
1335,Doodh Dulari,1,0.88%
1336,Beef Behari Boti,1,0.88%
1337,Mutton Kunna Paya,1,0.88%
1338,Fish Tikka Boti,1,0.88%
1339,Masala Biryani,1,0.88%
1340,Chicken Red Sauce,1,0.88%
1341,Chicken Fillet,1,0.88%
1342,Puri Paratha,1,0.88%
1343,Shahi Batair,1,0.88%
1344,Chicken Labnese Kabab,1,0.88%
1345,Beef Chulu Kabab,1,0.88%
1346,Beef Shami Kabab,1,0.88%
1347,Grilled Fish,1,0.88%
1348,Desi Chicken Karahi,1,0.88%
1349,Dahi Bhara,1,0.88%
1350,Murgh Channay,1,0.88%
1351,Qeema Wala Naan,1,0.88%
1352,Tawa Chicken,1,0.88%
1353,Phajjay Ke Paye,1,0.88%
1354,Deep-Fried Fish,1,0.88%
1355,Beef Fry Nihari,1,0.88%
1356,Pathoray,1,0.88%
1357,Desi Mutton Chops,1,0.88%
1358,Mughlai Biryani,1,0.88%
1359,Kashmiri Daal Chawal,1,0.88%
1360,Tandoori Chicken Skewers,1,0.88%
1361,Palak,1,0.88%
1362,Methi Aloo,1,0.88%
1363,Aloo Samosas,1,0.88%
1364,Unda Paratha,1,0.88%
1365,Lobia Paratha,1,0.88%
1366,Mixed Vegetable,1,0.88%
1367,Khitcheri,1,0.88%
1368,Naan Channa,1,0.88%
1369,Ande Aloo,1,0.88%
1370,Aloo Mutter,1,0.88%
1371,Aloo Salan,1,0.88%
1372,Arvi Bengan,1,0.88%
1373,Ladoo,1,0.88%
1374,Palak Bhindi,1,0.88%
1375,Kadhi Pakora,1,0.88%
1376,Khatti Moong Daal,1,0.88%
1377,Karela Sabzi,1,0.88%
1378,Lobia Masala,1,0.88%
1379,Apricot Juice,1,0.88%
1380,Spiced Lamb Skewers,1,0.88%
1381,Chicken Korma,1,0.88%
1382,Tandoori,1,0.88%
1383,Balti Gosht,1,0.88%
1384,Behari Kebab,1,0.88%
1385,Zafrani Kulfi,1,0.88%
1386,Dahi Bhalla Chaat,1,0.88%
1387,Chicken Spaghetti,1,0.88%
1388,Pakistani Chicken Shorba,1,0.88%
1389,Waheed K Fry Kabab,1,0.88%
1390,Degchi Kabab,1,0.88%
1391,Kidneys,1,0.88%
1392,Lauki Ka Halwa,1,0.88%
1393,Resha Kabab,1,0.88%
1394,Chicken Bihari Boti,1,0.88%
1395,Tikka Masala,1,0.88%
1396,Tamatar Gosht,1,0.88%
1397,Gur Waley Chawal,1,0.88%
1398,Petha Halwa,1,0.88%
1399,Fruit Trifle Dessert,1,0.88%
1400,Mutanjan Chawal,1,0.88%
1401,Chicken Biriyani,1,0.88%
