,food_name,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,calcium_mg,iron_mg,energy_kj,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug
,Chum chum,130.05,28.27,1.52,1.92,27.84,0.02,62.58,0.13,551.69,1156.57,518.66,60.96,0.10,49.40,5.13,16.65,64.67,0.05,0.58,0.00,0.01,0.00,0.21,0.19,0.09,0.04,0.00,0.01,0.00,3.27,0.02,0.06,0.05,0.19,0.02,0.84,3.27,0.86,86.52
,Dil bahar,130.05,28.27,1.52,1.92,27.84,0.02,62.58,0.13,551.69,1156.57,518.66,60.96,0.10,49.40,5.13,16.65,64.67,0.05,0.58,0.00,0.01,0.00,0.21,0.19,0.09,0.04,0.00,0.01,0.00,3.27,0.02,0.06,0.05,0.19,0.02,0.84,3.27,0.86,86.52
,Rasbhari,130.05,28.27,1.52,1.92,27.84,0.02,62.58,0.13,551.69,1156.57,518.66,60.96,0.10,49.40,5.13,16.65,64.67,0.05,0.58,0.00,0.01,0.00,0.21,0.19,0.09,0.04,0.00,0.01,0.00,3.27,0.02,0.06,0.05,0.19,0.02,0.84,3.27,0.86,86.52
,Rajbogh,133.70,28.16,1.71,2.28,27.66,0.11,63.23,0.17,566.87,1182.26,682.48,166.76,0.10,53.74,6.42,16.57,73.47,0.05,0.66,0.00,0.02,0.01,0.23,0.19,0.39,0.05,0.00,0.17,0.00,3.82,0.03,0.06,0.05,0.19,0.03,0.94,3.82,0.86,90.37
,Rasgulla,118.64,25.79,1.38,1.75,25.40,0.01,57.09,0.12,503.26,1055.04,473.13,55.61,0.09,45.07,4.68,15.19,58.99,0.04,0.53,0.00,0.01,0.00,0.19,0.18,0.09,0.03,0.00,0.01,0.00,2.98,0.02,0.06,0.04,0.17,0.02,0.77,2.98,0.79,78.92
,Rasmalai,135.55,29.17,1.61,2.11,28.71,0.07,62.31,0.15,574.94,1157.25,609.52,123.09,0.09,51.38,5.86,16.46,69.18,0.05,0.62,0.00,0.01,0.01,0.22,0.19,0.27,0.05,0.00,0.10,0.00,3.56,0.02,0.06,0.05,0.18,0.03,0.89,3.56,0.85,87.72
,Khoa coconut burfi,411.45,36.55,9.98,26.01,35.60,4.07,309.84,2.10,1729.94,17169.77,3745.23,627.03,0.00,288.22,54.94,31.14,459.51,0.28,28.71,0.06,0.63,0.04,1.56,0.00,1.53,0.28,0.00,0.75,0.00,52.94,0.07,0.07,0.40,0.22,0.07,10.42,52.94,0.00,140.13
,Danedar burfi,102.68,12.33,3.24,4.72,11.98,0.09,107.53,0.24,431.87,2532.85,1494.45,262.28,0.00,94.74,11.91,23.31,116.64,0.07,1.07,0.00,0.03,0.02,0.38,0.00,0.35,0.05,0.00,0.10,0.00,6.97,0.04,0.10,0.09,0.33,0.04,1.85,6.97,2.41,181.28
,Semolina burfi (Suji/Rava burfi),348.67,47.10,3.47,16.86,28.67,2.80,14.86,1.01,1457.24,9527.68,4137.19,818.78,39.41,33.06,11.53,8.33,99.53,0.16,2.95,0.00,0.71,0.02,0.61,147.69,0.98,2.30,0.00,0.34,0.00,6.86,0.08,0.01,0.30,0.20,0.03,0.13,6.86,0.00,373.09
,Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),186.18,17.02,1.75,12.66,16.11,4.29,21.76,0.79,781.62,8418.37,1166.94,289.65,5.11,48.00,23.61,8.95,283.95,0.20,4.45,0.00,0.39,0.02,0.32,19.17,1.50,0.96,0.00,52.70,0.00,19.10,0.03,0.03,0.38,0.15,0.08,1.19,19.10,5.01,972.51
,Khoa ladoo,396.02,34.43,12.21,24.09,33.37,3.08,358.61,2.25,1664.44,12446.50,6739.89,1939.94,0.00,341.83,69.26,31.71,479.67,0.26,28.57,0.07,0.41,0.09,1.81,0.00,4.01,0.26,0.00,1.82,0.00,60.69,0.13,0.08,0.57,0.28,0.11,12.23,60.69,0.04,154.57
,Wheat and gram flour ladoo (Atta besan ladoo),501.70,50.50,9.38,29.86,18.46,6.01,35.27,2.39,2093.53,15259.65,6622.46,1899.68,60.99,122.22,44.21,27.06,224.94,0.21,12.78,0.00,1.31,0.08,1.12,228.60,2.04,3.71,0.00,2.33,0.00,48.10,0.20,0.07,0.99,0.50,0.15,1.95,48.10,0.00,553.28
,Semolina ladoo with nuts (Suji/Rava ladoo with nuts),441.84,48.02,5.44,25.45,19.79,4.27,18.04,1.81,1839.11,14316.72,7287.49,1526.27,58.80,71.11,29.99,3.93,189.25,0.30,5.00,0.00,1.03,0.06,1.10,220.40,1.52,3.66,0.00,0.64,0.00,12.77,0.14,0.02,0.51,0.36,0.06,0.33,12.77,0.08,565.68
,Sesame chickpeas brittle (Til aur channe ki chikki),282.74,50.49,8.50,4.66,36.48,5.54,150.73,4.80,1183.00,622.96,1411.29,2049.97,0.00,178.66,109.57,17.93,515.43,0.37,16.47,0.01,0.91,0.12,1.79,0.00,0.16,5.18,0.00,8.00,0.00,67.53,0.14,0.05,0.82,0.59,0.40,0.73,67.53,0.00,302.86
,Murmura chikki,253.82,59.59,2.12,0.32,48.27,0.37,63.30,3.30,1062.00,46.25,18.06,25.31,0.00,64.30,74.94,15.03,298.86,0.08,0.00,0.01,0.54,0.03,0.46,0.00,0.03,0.27,0.00,0.14,0.00,8.23,0.04,0.01,0.28,0.19,0.42,0.51,8.23,0.00,17.77
,Masala onion pakora/pakoda (Pyaaz ke pakode),551.64,6.48,2.05,57.61,1.58,1.44,11.06,0.42,2272.16,6926.20,11809.75,36439.39,0.00,24.35,9.65,99.22,70.11,0.05,0.37,0.00,0.21,0.00,0.20,0.00,28.34,0.21,0.00,5.86,0.00,20.78,0.04,0.02,0.23,0.16,0.06,1.23,20.78,1.68,54.46
,Masala green chilli pakora/pakoda (Hari mirch kay pakode),668.76,5.55,2.22,71.01,0.27,1.34,8.58,0.47,2753.79,8531.32,14554.42,44930.63,0.00,23.56,8.39,120.90,56.48,0.04,0.35,0.00,0.20,0.01,0.16,0.00,34.96,0.22,0.00,7.04,0.00,18.46,0.05,0.02,0.24,0.13,0.06,0.79,18.46,5.59,119.64
,Chicken pakora/pakoda,590.09,4.55,6.03,60.98,0.22,0.96,9.08,0.51,2431.97,7272.65,12334.67,37543.44,11.98,52.40,10.08,103.23,92.90,0.08,3.91,0.00,0.20,0.01,0.28,1.35,29.22,0.09,0.27,5.13,5.41,16.73,0.05,0.03,1.72,0.33,0.14,1.45,16.73,0.20,16.84
,Fish pakora/pakoda,577.03,4.55,5.97,59.52,0.22,0.96,12.65,0.63,2377.29,7231.40,12183.87,37563.48,9.04,62.72,13.44,112.24,95.62,0.05,12.77,0.00,0.20,0.01,0.25,3.18,29.30,0.09,0.04,5.13,1.02,16.09,0.05,0.03,0.67,0.37,0.06,1.78,16.09,0.20,16.84
,Paneer cutlet,672.20,7.62,4.59,69.38,2.52,0.39,107.86,0.48,2770.44,9680.83,14442.97,42104.15,0.00,74.91,8.93,91.45,35.43,0.05,5.07,0.02,0.10,0.02,0.61,0.00,32.68,0.19,0.00,6.11,0.00,21.20,0.03,0.03,0.19,0.11,0.02,4.11,21.20,1.00,132.28
